scenario,row_arm,seed,budget_multiplier,kernel_weight,leverage,leverage_gain,leverage_relative_gain
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,151,8.0,6.138408754437215e-16,7.109392013531418e-16,-9.70983259094203e-17,-9.70983259094203e-05
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,151,16.0,2.0028157852160825e-15,7.70457648254067e-16,1.2323581369620155e-15,0.0012323581369620155
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,181,2.0,1.0059909982993553e-14,1.0786822006697224e-14,-7.269120237036714e-16,-0.0007269120237036714
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,181,4.0,7.811529213857063e-16,1.2832247489600225e-15,-5.020718275743162e-16,-0.0005020718275743161
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,181,8.0,8.144069402025582e-16,1.037233297595233e-15,-2.2282635739267476e-16,-0.00022282635739267478
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,181,16.0,1.7551619836123792e-15,1.707253079673127e-15,4.790890393925229e-17,4.790890393925229e-05
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,211,2.0,0.12437325197433145,8.917560233246398e-15,0.12437325197432253,0.9999999999999283
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,211,4.0,1.2945120496661127e-15,8.509984807066651e-16,4.4351356895944763e-16,0.0004435135689594476
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,211,8.0,7.966970731517078e-16,1.3726540035996064e-15,-5.759569304478986e-16,-0.0005759569304478986
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,211,16.0,7.947127685184544e-16,8.891080331050383e-16,-9.439526458658391e-17,-9.439526458658392e-05
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,241,2.0,1.4307170768963436e-15,0.3787023296986098,-0.37870232969860834,-378702329698.60834
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,241,4.0,7.629285893735929e-16,9.600524107249768e-16,-1.9712382135138395e-16,-0.00019712382135138396
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,241,8.0,1.1261553342801567e-15,4.149958374186433e-15,-3.0238030399062764e-15,-0.0030238030399062765
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,241,16.0,8.37948788512094e-16,7.77085122196938e-16,6.086366631515596e-17,6.086366631515597e-05
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,271,2.0,0.6633228815612598,0.001797700585869446,0.6615251809753904,0.9972898559120436
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,271,4.0,2.6222886044937115e-15,2.589496548501806e-15,3.2792055991905726e-17,3.2792055991905726e-05
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,271,8.0,9.66499923240036e-16,1.0034982444433487e-15,-3.699832120331276e-17,-3.699832120331276e-05
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,271,16.0,1.5152610643608782e-15,8.910116310099403e-16,6.242494333509379e-16,0.0006242494333509379
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,307,2.0,2.7824963270630815e-15,0.3010580837508243,-0.30105808375082155,-301058083750.82153
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,307,4.0,1.48001873054916e-15,1.4834859402552223e-15,-3.4672097060622863e-18,-3.4672097060622864e-06
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,307,8.0,8.034162870257517e-16,1.494129306803167e-15,-6.907130197774153e-16,-0.0006907130197774153
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,307,16.0,1.4259151984325923e-15,8.272917646144349e-16,5.986234338181574e-16,0.0005986234338181575
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,337,2.0,0.2040364299523127,0.05840667456903861,0.14562975538327408,0.7137438908204314
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,337,4.0,1.328463558965187e-15,1.3063427691913365e-15,2.212078977385045e-17,2.212078977385045e-05
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,337,8.0,3.7508811692436265e-15,1.1229075802546086e-15,2.627973588989018e-15,0.002627973588989018
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,337,16.0,1.3448874046566808e-15,8.60321737033841e-16,4.845656676228397e-16,0.0004845656676228397
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,367,2.0,0.5782927531899452,0.3682308951926355,0.2100618579973097,0.36324483894805626
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,367,4.0,0.0051886621903296445,0.0038963483789241724,0.0012923138114054721,0.2490649350451102
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,367,8.0,0.003348739093862833,0.003408067772588255,-5.932867872542177e-05,-0.017716721745851222
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,367,16.0,0.0012060757162580494,0.002385260000524048,-0.0011791842842659985,-0.9777033633713447
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,397,2.0,0.18941367881087445,0.6474641473796412,-0.45805046856876674,-2.4182544335993836
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,397,4.0,0.00756326116077491,0.014999320052769714,-0.007436058891994804,-0.9831815580506712
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,397,8.0,0.004381190138081515,0.0073500318659330535,-0.0029688417278515384,-0.6776336187845908
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,397,16.0,0.0036078027057845946,0.004708524135700456,-0.001100721429915861,-0.30509468495907827
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,431,2.0,0.13857523092317683,2.0738178939877966e-15,0.13857523092317475,0.999999999999985
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,431,4.0,1.1999792762582126e-15,1.0176591497336033e-15,1.8232012652460933e-16,0.00018232012652460934
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,431,8.0,1.2338795471087766e-15,8.496456629296918e-16,3.8423388417908474e-16,0.00038423388417908476
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,431,16.0,1.2899706979523494e-15,1.932659560377822e-15,-6.426888624254726e-16,-0.0006426888624254726
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,461,2.0,0.2655192877942452,5.822939988533973e-15,0.2655192877942394,0.999999999999978
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,461,4.0,1.1658911409112153e-15,1.3006194082592403e-15,-1.34728267348025e-16,-0.000134728267348025
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,461,8.0,9.755786773836653e-16,8.221160751885806e-16,1.534626021950847e-16,0.00015346260219508472
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,461,16.0,1.9324515023294974e-15,6.993880008201121e-16,1.2330635015093853e-15,0.0012330635015093854
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,491,2.0,0.4510535520394367,0.006926136120998126,0.4441274159184386,0.9846445370185388
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,491,4.0,0.002702468738782015,0.003580389464190675,-0.0008779207254086597,-0.32485879033861936
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,491,8.0,0.0016819611293658859,0.0016302907787639038,5.1670350601982096e-05,0.030720300071061853
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,491,16.0,0.0011706135645782882,0.0008452064739969781,0.00032540709058131014,0.27797994182524066
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,521,2.0,7.806146972481882e-15,0.06058866302593408,-0.060588663025926276,-60588663025.92628
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,521,4.0,8.083175509433976e-16,4.2263612933617174e-15,-3.4180437424183197e-15,-0.00341804374241832
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,521,8.0,3.2693815282202553e-16,2.4070285970618223e-15,-2.080090444239797e-15,-0.002080090444239797
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,521,16.0,1.5927371278034411e-15,9.669581287751177e-16,6.257789990283234e-16,0.0006257789990283234
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,557,2.0,0.057982711020408695,0.20602504722073467,-0.14804233620032597,-2.5532151497403803
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,557,4.0,0.008960277292445059,0.01509296746519323,-0.006132690172748171,-0.6844308465675506
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,557,8.0,0.0037075700480542224,0.005564006042708515,-0.001856435994654293,-0.5007150156552196
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,557,16.0,0.001612807093356923,0.002809720004674609,-0.001196912911317686,-0.7421302375514804
synthetic_interaction,not_applicable,11,2.0,0.19012247286389833,0.5176411746905327,-0.3275187018266344,-1.722672216982434
synthetic_interaction,not_applicable,11,4.0,0.09842883629331711,0.1364034448067972,-0.037974608513480085,-0.38580775658381317
synthetic_interaction,not_applicable,11,8.0,0.035046432747993246,0.03162575076635427,0.0034206819816389733,0.0976042841859516
synthetic_interaction,not_applicable,11,16.0,0.020451047024814144,0.02967615823873093,-0.009225111213916785,-0.4510825877385914
synthetic_interaction,not_applicable,29,2.0,0.44151046042612463,0.6708348071180694,-0.2293243466919448,-0.5194086375000311
synthetic_interaction,not_applicable,29,4.0,0.0595111770952822,0.108688527939615,-0.04917735084433281,-0.8263548671805954
synthetic_interaction,not_applicable,29,8.0,0.042323001314082974,0.0697556887461038,-0.027432687432020826,-0.648174434238259
synthetic_interaction,not_applicable,29,16.0,0.03591769709244109,0.022644334489306556,0.013273362603134532,0.369549377538682
synthetic_interaction,not_applicable,47,2.0,0.5407376720726365,0.2269126856898228,0.31382498638281364,0.5803645697181202
synthetic_interaction,not_applicable,47,4.0,0.08934433442609664,0.08477023854320337,0.004574095882893273,0.051196261209789956
synthetic_interaction,not_applicable,47,8.0,0.0305305753568985,0.07076291956726997,-0.04023234421037147,-1.3177722247308
synthetic_interaction,not_applicable,47,16.0,0.0243570522953745,0.027419396522999063,-0.003062344227624563,-0.12572720994675182
synthetic_interaction,not_applicable,71,2.0,0.4415104604261091,0.3555280969030053,0.08598236352310379,0.19474592615568107
synthetic_interaction,not_applicable,71,4.0,0.12655427236344235,0.12884736053979745,-0.002293088176355096,-0.018119405481386963
synthetic_interaction,not_applicable,71,8.0,0.054847968046499565,0.03941147889676081,0.015436489149738754,0.2814414042950844
