run_key,status,scenario,row_arm,seed,budget_multiplier,requested_model_evaluations,model_evaluations,coalition_policy,shap_mse,shap_relative_l2_error,full_kernel_loss,full_kernel_excess_loss,efficiency_residual,condition_number,explanation_drift_vs_full_rows,downstream_rmse,row_gram_relative_error,row_budget_exact,runtime_seconds
synthetic_threshold|not_applicable|seed=127|budget=8|leverage,completed,synthetic_threshold,not_applicable,127,8.0,80,80,leverage,0.0010966005744814243,0.0865435054630108,0.04010691969175612,0.001096600574481424,2.220446049250313e-16,6.111319050572855e+16,0.0,,,True,0.003095799998845905
synthetic_threshold|not_applicable|seed=127|budget=16|kernel_weight,completed,synthetic_threshold,not_applicable,127,16.0,160,160,kernel_weight,0.0008450567285462256,0.0759719335849543,0.0398553758458209,0.0008450567285461993,6.661338147750939e-16,5.81982488942311e+16,0.0,,,True,0.00301930000205175
synthetic_threshold|not_applicable|seed=127|budget=16|leverage,completed,synthetic_threshold,not_applicable,127,16.0,160,160,leverage,0.0008017388647616379,0.07399914745885464,0.03981205798203631,0.0008017388647616128,6.661338147750939e-16,3.026656681000646e+18,0.0,,,True,0.003163400000630645
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=2|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,2.0,20,20,kernel_weight,13.137539517597256,0.18317169832954297,114.55188783517218,13.137539517597546,8.526512829121202e-14,2.6959484368504932e+16,0.0,61.24028445657139,0.0,True,0.00895440000022063
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=2|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,2.0,20,20,leverage,3.2103673273357094,0.09054796990715747,104.6247156449104,3.21036732733576,0.0,8.291240468813585e+17,0.0,61.24028445657139,0.0,True,0.00800379999782308
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=4|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,4.0,40,40,kernel_weight,0.7953084062357574,0.0450680887485832,102.20965672381062,0.7953084062359892,5.684341886080802e-14,4.036836430047242e+16,0.0,61.24028445657139,0.0,True,0.00873910000154865
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=4|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,4.0,40,40,leverage,1.634247324667219,0.06460412455433387,103.04859564224199,1.6342473246673563,2.842170943040401e-14,2.2368550588021236e+16,0.0,61.24028445657139,0.0,True,0.00987399999939953
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=8|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,8.0,80,80,kernel_weight,0.7458297843189944,0.043643665222538076,102.16017810189348,0.7458297843188433,2.842170943040401e-14,1.7014491647929274e+16,0.0,61.24028445657139,0.0,True,0.00980859999981476
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=8|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,8.0,80,80,leverage,1.0852261114521795,0.05264552630857053,102.49957442902675,1.0852261114521156,2.842170943040401e-14,6.111319050572855e+16,0.0,61.24028445657139,0.0,True,0.010066599999845494
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=16|kernel_weight,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,16.0,160,160,kernel_weight,0.18924975076135528,0.021984622491113406,101.60359806833588,0.18924975076124895,2.842170943040401e-14,5.81982488942311e+16,0.0,61.24028445657139,0.0,True,0.010606100000586594
diabetes_hist_gradient_boosting|D0_full_rows|seed=127|budget=16|leverage,completed,diabetes_hist_gradient_boosting,D0_full_rows,127,16.0,160,160,leverage,0.37762231205433855,0.0310549030597959,101.79197062962892,0.3776223120542852,0.0,3.026656681000646e+18,0.0,61.24028445657139,0.0,True,0.01318149999860907
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=2|kernel_weight,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,2.0,20,20,kernel_weight,1.0277674303671952e-26,3.5813106075773645e-15,49.77515788829321,6.039613253960852e-13,1.7053025658242404e-13,2.6959484368504932e+16,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.01148269999976037
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=2|leverage,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,2.0,20,20,leverage,2.504870032348279e-27,1.7680199536936275e-15,49.77515788829261,7.105427357601002e-15,2.842170943040401e-14,8.291240468813585e+17,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.011343300000589807
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=4|kernel_weight,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,4.0,40,40,kernel_weight,1.7226355587311233e-27,1.4661934244601665e-15,49.775157888293066,4.618527782440651e-13,1.4210854715202004e-13,4.036836430047242e+16,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.010454999999637948
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=4|leverage,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,4.0,40,40,leverage,1.5169006346494837e-27,1.3758564689712973e-15,49.77515788829281,2.0605739337042905e-13,5.684341886080802e-14,2.2368550588021236e+16,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.010634899997967295
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=8|kernel_weight,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,8.0,80,80,kernel_weight,4.696088968780683e-28,7.65530893612636e-16,49.77515788829247,0.0,8.526512829121202e-14,1.7014491647929274e+16,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.010372000000643311
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=8|leverage,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,8.0,80,80,leverage,8.444755990390931e-28,1.0265689309573963e-15,49.77515788829262,1.4210854715202004e-14,0.0,6.111319050572855e+16,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.011899599998287158
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=16|kernel_weight,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,16.0,160,160,kernel_weight,4.708710743264219e-28,7.665589698101138e-16,49.77515788829267,6.394884621840902e-14,2.842170943040401e-14,5.81982488942311e+16,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.01113690000056522
diabetes_hist_gradient_boosting|D1_uniform_rows|seed=127|budget=16|leverage,completed,diabetes_hist_gradient_boosting,D1_uniform_rows,127,16.0,160,160,leverage,2.7050040440028493e-28,5.810031981327232e-16,49.77515788829269,8.526512829121202e-14,2.842170943040401e-14,3.026656681000646e+18,0.663417183213132,61.37490993379608,0.1833607023814226,True,0.011087999999290332
diabetes_hist_gradient_boosting|D2_robust_leverage_ipw|seed=127|budget=2|kernel_weight,completed,diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,127,2.0,20,20,kernel_weight,7.115485922048266e-27,3.233526255319512e-15,50.202465303520675,0.0,5.684341886080802e-14,2.6959484368504932e+16,1.077235024403811,70.45191472455178,0.19261061837854296,True,0.010109000002557877
