scenario,row_arm,coalition_policy,budget_multiplier,median_relative_error,mean_relative_error,worst_relative_error,median_efficiency_residual,median_runtime_seconds,median_downstream_rmse,median_explanation_drift,median_row_gram_error
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,leverage,8.0,1.3193451548975235e-15,0.0012115691812154173,0.0073500318659330535,2.842170943040401e-14,0.010667600001397659,60.856492873193865,0.7409874511139705,0.1885217012434418
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,kernel_weight,16.0,1.8438067429709382e-15,0.0005223257737427244,0.0036078027057845946,2.842170943040401e-14,0.010762799998701666,60.856492873193865,0.7409874511139705,0.1885217012434418
diabetes_hist_gradient_boosting,D2_robust_leverage_ipw,leverage,16.0,9.371230850956793e-16,0.0006906668292906744,0.004708524135700456,2.1316282072803006e-14,0.010412450001240359,60.856492873193865,0.7409874511139705,0.1885217012434418
synthetic_interaction,not_applicable,kernel_weight,2.0,0.3841077787326944,0.3795490836671265,0.6802940767575031,5.329070518200751e-15,0.0026480500018806197,,0.0,
synthetic_interaction,not_applicable,leverage,2.0,0.3114731556953698,0.36094415242659517,0.8454281663398857,3.552713678800501e-15,0.002690150000489666,,0.0,
synthetic_interaction,not_applicable,kernel_weight,4.0,0.09218076050144261,0.10238033928374388,0.18024589069087574,1.7763568394002505e-15,0.002595649999420857,,0.0,
synthetic_interaction,not_applicable,leverage,4.0,0.11278203180784627,0.13864320489331033,0.5099678472568793,1.7763568394002505e-15,0.002910449999035336,,0.0,
synthetic_interaction,not_applicable,kernel_weight,8.0,0.053955591975511225,0.058833933144501784,0.11454646771396744,1.7763568394002505e-15,0.002667299999302486,,0.0,
synthetic_interaction,not_applicable,leverage,8.0,0.054586293083325146,0.05272661511917527,0.07076291956726997,1.7763568394002505e-15,0.0029859500009479234,,0.0,
synthetic_interaction,not_applicable,kernel_weight,16.0,0.030856487043978212,0.0317484747179576,0.04832646628174964,1.7763568394002505e-15,0.00292164999882516,,0.0,
synthetic_interaction,not_applicable,leverage,16.0,0.03016308634746319,0.03214723548822051,0.0467546569862195,0.0,0.0032866499986994313,,0.0,
synthetic_threshold,not_applicable,kernel_weight,2.0,0.5920501957776563,0.6511247188550895,1.6051813840615325,1.7763568394002505e-15,0.0025062999993679114,,0.0,
synthetic_threshold,not_applicable,leverage,2.0,0.5229017864718004,0.6363906320816116,1.7695173595139648,1.6653345369377348e-15,0.0026740000012068776,,0.0,
synthetic_threshold,not_applicable,kernel_weight,4.0,0.2357196744094609,0.2723741117509645,0.5063446835685603,6.661338147750939e-16,0.002632600000652019,,0.0,
synthetic_threshold,not_applicable,leverage,4.0,0.2851468624981952,0.3051516683324796,0.4269776225716552,5.551115123125783e-16,0.00293364999924961,,0.0,
synthetic_threshold,not_applicable,kernel_weight,8.0,0.17110788821121825,0.16609504993854224,0.21971855485000796,5.551115123125783e-16,0.0028712500006804476,,0.0,
synthetic_threshold,not_applicable,leverage,8.0,0.1388302680882404,0.14211576260308684,0.2063328015499035,5.551115123125783e-16,0.002939949999927194,,0.0,
synthetic_threshold,not_applicable,kernel_weight,16.0,0.10375389864335957,0.10473104509068651,0.15617231903511122,3.3306690738754696e-16,0.0030868499998177867,,0.0,
synthetic_threshold,not_applicable,leverage,16.0,0.09550794256871614,0.09751523062407455,0.14741078555172213,3.3306690738754696e-16,0.0031326999996963423,,0.0,
