regime,snr,budget_ratio,arm,runs,mean_gain,median_gain,worst_gain,win_rate,mean_fit_seconds,mean_detected_spikes,mean_expert_count,mean_routing_entropy,mean_oracle_gap
multiple_spikes,0.5,0.1,B1_bulk_single_spike,5,-0.1394498239455006,-0.08429163677784578,-0.47700411496733586,0.2,0.00038599999999995306,0.6,1.0,0.0,0.0
multiple_spikes,0.5,0.1,B2_bulk_multi_spike,5,-0.2547599758487969,-0.24075050828279237,-0.47504397120000413,0.2,0.00037178000000004374,0.6,1.0,0.0,0.0
multiple_spikes,0.5,0.1,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0013833800000000451,0.6,3.0,1.062569915039624,0.3792555326979642
multiple_spikes,0.5,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0015873000000002691,0.6,3.0,1.040290874825319,0.3873579338472529
multiple_spikes,0.5,0.2,B1_bulk_single_spike,5,0.09725724295584344,0.12471743406745545,-0.007603158375813258,0.8,0.0004095800000005312,0.6,1.0,0.0,0.0
multiple_spikes,0.5,0.2,B2_bulk_multi_spike,5,0.1079121342104989,0.14685928791173664,-0.030431435011503565,0.8,0.0003818799999994127,0.6,1.0,0.0,0.0
multiple_spikes,0.5,0.2,B3_validation_selected,5,0.10167630823026755,0.1487043327305129,0.0,0.6,0.0009408800000002771,0.6,1.8,0.43296262029662086,0.15730170614921093
multiple_spikes,1.0,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0014299999999998648,1.8,3.0,0.8296696656859887,0.32305393288658774
multiple_spikes,1.0,0.05,B1_bulk_single_spike,5,-0.15480536773729975,-0.23265828356066823,-0.27708794148542976,0.2,0.0007270399999999456,1.8,1.8,0.20019237432480336,0.197993537661373
multiple_spikes,1.0,0.05,B2_bulk_multi_spike,5,-0.09627753041059506,-0.13387834636614995,-0.20359751886606553,0.2,0.0006605400000001538,1.8,1.8,0.20019237432480336,0.19215630017459898
multiple_spikes,1.0,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0014299999999998648,1.8,3.0,0.8296696656859887,0.32305393288658774
multiple_spikes,1.0,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0015697400000000527,1.8,3.0,1.035609619406231,0.3596549314825894
multiple_spikes,1.0,0.1,B1_bulk_single_spike,5,-0.09796808863137196,-0.0997264947262776,-0.20532831815156696,0.0,0.000714439999999783,1.8,1.8,0.20019237432480336,0.17784080559327103
multiple_spikes,1.0,0.1,B2_bulk_multi_spike,5,-0.060807364901751926,-0.0666806490959813,-0.11590019813925767,0.2,0.000735339999999951,1.8,1.8,0.20019237432480336,0.19282572289223804
multiple_spikes,1.0,0.1,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0015697400000000527,1.8,3.0,1.035609619406231,0.3596549314825894
multiple_spikes,1.0,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.001516340000000227,1.8,3.0,0.9061543185787875,0.3756625506218755
multiple_spikes,1.0,0.2,B1_bulk_single_spike,5,0.0808935279879029,0.08902774554780142,0.00038684571308742014,1.0,0.0006847999999997967,1.8,1.8,0.20019237432480336,0.1638514374294254
multiple_spikes,1.0,0.2,B2_bulk_multi_spike,5,0.06805872335564114,0.07145195707295475,-0.06415667808103158,0.8,0.0006541200000004466,1.8,1.8,0.20019237432480336,0.16628225105500677
multiple_spikes,1.0,0.2,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.001516340000000227,1.8,3.0,0.9061543185787875,0.3756625506218755
multiple_spikes,2.0,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0014730000000000131,1.8,3.0,0.5676323622825533,0.2706230244077606
multiple_spikes,2.0,0.05,B1_bulk_single_spike,5,-0.26593748623969754,-0.19535721467321648,-0.817942268572551,0.0,0.000669779999999065,1.8,1.8,0.3208938632984807,0.19646763727302163
multiple_spikes,2.0,0.05,B2_bulk_multi_spike,5,-0.1678268936042842,-0.14156872671468268,-0.3362890818333767,0.2,0.00062927999999971,1.8,1.8,0.3208938632984807,0.19971151557924283
multiple_spikes,2.0,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0014730000000000131,1.8,3.0,0.5676323622825533,0.2706230244077606
multiple_spikes,2.0,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013587199999996358,1.8,3.0,0.5979179553864957,0.26523665435111254
multiple_spikes,2.0,0.1,B1_bulk_single_spike,5,-0.29796617162875033,-0.292793529143213,-0.4649555321027114,0.0,0.0006552799999994363,1.8,1.8,0.3208938632984807,0.21007491190096292
multiple_spikes,2.0,0.1,B2_bulk_multi_spike,5,-0.3440834555696848,-0.23235098442744795,-0.846261679841945,0.0,0.0008734400000001586,1.8,2.4,0.3282875257129951,0.32242747412692385
multiple_spikes,2.0,0.1,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0013587199999996358,1.8,3.0,0.5979179553864957,0.26523665435111254
multiple_spikes,2.0,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.001569319999999408,1.8,3.0,0.3428698124687261,0.23355143810152906
multiple_spikes,2.0,0.2,B1_bulk_single_spike,5,-0.07753153422693425,-0.02397807275310777,-0.30960335420049884,0.2,0.0007132600000005595,1.8,1.8,0.3208938632984807,0.1651166923868058
multiple_spikes,2.0,0.2,B2_bulk_multi_spike,5,-0.2754500707037857,-0.1714885056412337,-0.630857048796833,0.0,0.0008724000000007948,1.8,2.4,0.33525352467042685,0.2850556398414296
multiple_spikes,2.0,0.2,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.001569319999999408,1.8,3.0,0.3428698124687261,0.23355143810152906
null,0.5,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.001473859999999938,0.0,3.0,1.039098823723743,0.29818523629434246
null,0.5,0.05,B1_bulk_single_spike,5,-0.4455463185938469,-0.3824066847505159,-1.0633200248131611,0.0,0.00040127999999999274,0.0,1.0,0.0,0.0
null,0.5,0.05,B2_bulk_multi_spike,5,-0.33879378491991935,-0.3060595803262579,-0.5662492195668751,0.0,0.0003918800000000111,0.0,1.0,0.0,0.0
null,0.5,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.001473859999999938,0.0,3.0,1.039098823723743,0.29818523629434246
null,0.5,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013823800000001718,0.0,3.0,1.0768107538953289,0.3575370103841241
null,0.5,0.1,B1_bulk_single_spike,5,-0.10047286019596258,-0.16598173141302214,-0.17435167562817733,0.2,0.00038714000000013017,0.0,1.0,0.0,0.0
null,0.5,0.1,B2_bulk_multi_spike,5,-0.13149248107247427,-0.1683558149267796,-0.3897006368758718,0.2,0.0003702400000000772,0.0,1.0,0.0,0.0
null,0.5,0.1,B3_validation_selected,5,0.017620622233390067,0.0,0.0,0.2,0.0011719000000002034,0.0,2.6,0.867937960105704,0.29053666428156527
null,0.5,0.2,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013783600000000895,0.0,3.0,1.0477517020342042,0.3774191423595868
null,0.5,0.2,B1_bulk_single_spike,5,0.044956443536467286,0.06489626538570234,-0.13347652548192626,0.8,0.0003865399999999575,0.0,1.0,0.0,0.0
null,0.5,0.2,B2_bulk_multi_spike,5,0.09589618192025118,0.15119450380941737,-0.15981652189095316,0.8,0.00036711999999985425,0.0,1.0,0.0,0.0
null,0.5,0.2,B3_validation_selected,5,0.11765047014240289,0.15119450380941737,0.0,0.6,0.0007718599999998688,0.0,1.8,0.42768142325149616,0.15319375799133778
null,1.0,0.05,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013812999999998966,0.0,3.0,1.039098823723743,0.2910981640286914
null,1.0,0.05,B1_bulk_single_spike,5,-0.3160125169538466,-0.2624746527380114,-0.7657326177585476,0.2,0.00037037999999984806,0.0,1.0,0.0,0.0
null,1.0,0.05,B2_bulk_multi_spike,5,-0.2327169923463054,-0.2145876774799326,-0.5134480461458568,0.0,0.00035820000000015285,0.0,1.0,0.0,0.0
null,1.0,0.05,B3_validation_selected,5,0.0,0.0,0.0,0.0,0.0013812999999998966,0.0,3.0,1.039098823723743,0.2910981640286914
null,1.0,0.1,B0_standard_A9,5,0.0,0.0,0.0,0.0,0.0013801200000003178,0.0,3.0,1.0791932993042526,0.35076801630289417
