problem_type,test_primary_metric,budget_ratio,arm_name,runs,mean_gain,median_gain,worst_gain,best_gain,win_rate,harm_rate,dataset_balanced_mean_gain,datasets
regression,rmse,0.01,B3_validation_selected,35.0,0.01322536077302062,0.0,0.0,0.13333063114144833,0.17142857142857143,0.0,0.013225360773020622,7
regression,rmse,0.05,B1_bulk_single_spike,35.0,-0.2547531210513716,-0.028146000179302834,-3.870319849683648,0.0403261389470517,0.17142857142857143,0.8285714285714286,-0.25475312105137166,7
regression,rmse,0.05,B2_bulk_multi_spike,35.0,-0.39227619904619154,-0.052715097221270976,-3.870319849683648,0.0403261389470517,0.17142857142857143,0.8285714285714286,-0.39227619904619165,7
regression,rmse,0.05,B3_validation_selected,35.0,0.00043802108658491705,0.0,0.0,0.010694889521460154,0.05714285714285714,0.0,0.000438021086584917,7
regression,rmse,0.1,B1_bulk_single_spike,35.0,-0.32886488643684925,-0.01664790538230351,-5.554502831043892,0.07224987023461216,0.22857142857142856,0.7714285714285715,-0.32886488643684925,7
regression,rmse,0.1,B2_bulk_multi_spike,35.0,-0.5290654193913968,-0.017954214156263876,-5.554502831043892,0.07224987023461216,0.2,0.8,-0.529065419391397,7
regression,rmse,0.1,B3_validation_selected,35.0,0.0020733078526089105,0.0,-0.007416211350081284,0.07224987023461216,0.08571428571428572,0.02857142857142857,0.0020733078526089105,7
regression,rmse,0.2,B1_bulk_single_spike,35.0,-0.3299265246123238,-0.018080552780784197,-6.612017194618201,0.08158857211573099,0.3142857142857143,0.6857142857142857,-0.3299265246123238,7
regression,rmse,0.2,B2_bulk_multi_spike,35.0,-0.5569169557527254,-0.021834149223597013,-6.612017194618201,0.08158857211573099,0.22857142857142856,0.7714285714285715,-0.5569169557527254,7
regression,rmse,0.2,B3_validation_selected,35.0,0.00028656188069312277,0.0,0.0,0.009512316614116414,0.05714285714285714,0.0,0.00028656188069312277,7
