dataset,problem_type,seed,budget_ratio,model,row_arm_id,selection_method,training_reweighting,status,selected_geometry_arm,primary_metric,primary_value,rmse,mae,tail_mae,roc_auc,log_loss,n_experts,total_train_rows,ensemble_fit_seconds,sampler_fit_seconds,gram_relative_error_mean,projection_cost_error_mean,principal_angle_max_mean,effective_sample_size_mean,inclusion_probability_min_mean,inclusion_probability_max_mean
OnlineNewsPopularity__task_359941,regression,11,0.2,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A2_median_scaled_euclidean,rmse,15949.67320545254,15949.67320545254,4119.815823779864,20746.10217888421,,,2,5709,61.12682963721454,60.37773293443024,0.0454288795689537,3.874747000288916e-12,1.7850445613114854e-06,2854.5,0.0695198983620265,1.0
OnlineNewsPopularity__task_359941,regression,29,0.05,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A2_median_scaled_euclidean,rmse,15809.736673422292,15809.736673422292,3701.7694575750247,19059.174880459635,,,1,1427,61.51371553353965,61.04185474663973,0.0771289967434892,2.098330963357425e-11,8.537736462515939e-07,1427.0,0.018402621085368,1.0
OnlineNewsPopularity__task_359941,regression,29,0.1,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A2_median_scaled_euclidean,rmse,15819.875322637725,15819.875322637725,3737.48231121617,20003.39839317601,,,1,2854,81.26159308664501,80.75348239950836,0.0530961321751919,2.8075097591032876e-11,2.831646840510158e-06,2854.0,0.0373672860036658,1.0
OnlineNewsPopularity__task_359941,regression,29,0.2,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A2_median_scaled_euclidean,rmse,15842.349059365206,15842.349059365206,3697.025505532992,19772.80148526956,,,1,5709,66.25051075778902,65.77062286436558,0.0281446857356717,1.3203020572454227e-11,2.4148365394514667e-06,5709.0,0.0760726344369604,1.0
OnlineNewsPopularity__task_359941,regression,47,0.05,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A2_median_scaled_euclidean,rmse,15643.299713597746,15643.299713597746,3551.7821523434363,17497.060005942436,,,2,1427,80.85179155133665,80.16620982252061,0.1309365818795393,1.7025295967551485e-11,2.69648388963247e-06,713.5,0.0215333815986084,0.7332194697940242
OnlineNewsPopularity__task_359941,regression,47,0.1,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A2_median_scaled_euclidean,rmse,15643.745270989462,15643.745270989462,3721.7686877447422,18821.760230027023,,,2,2854,79.90695174597204,79.14985583163798,0.0840900742918738,4.357597045356446e-12,2.3044826193991696e-06,1427.0,0.0435317396851703,0.9664389395880484
OnlineNewsPopularity__task_359941,regression,47,0.2,lightgbm,R2_robust_mixture,robust_leverage_mixture,none,completed,A2_median_scaled_euclidean,rmse,15626.572000604783,15626.572000604783,3605.7866936735154,18055.961841806475,,,2,5709,80.05138963460922,79.28772980719805,0.0601629697900828,5.253234465772173e-12,2.0002028497841475e-06,2854.5,0.0884222742504329,1.0
bank-marketing__task_359982,classification,11,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A5_gmm_posterior,roc_auc,0.8953073360422328,,,,0.8953073360422328,0.2975999727012898,2,1628,79.20236855000257,78.39914646558464,0.0583385706229215,3.498245330661599e-12,2.0002028497841475e-06,736.8461155744349,0.0219111466045875,0.9122037713665916
bank-marketing__task_359982,classification,11,0.1,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,roc_auc,0.9075698161764184,,,,0.9075698161764184,0.2670064148506173,2,3255,79.07200458087027,78.05560233257711,0.0449086983818573,3.37431873483681e-12,2.630595133568349e-06,1480.430760609207,0.0441398904111241,1.0
bank-marketing__task_359982,classification,11,0.2,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A2_median_scaled_euclidean,roc_auc,0.915954527227942,,,,0.915954527227942,0.2283342952358025,2,6510,80.43009242042899,79.4167315363884,0.0280872085217954,2.465385386241724e-12,2.2352084245856024e-06,2987.196129858362,0.0889432050545527,1.0
bank-marketing__task_359982,classification,29,0.05,lightgbm,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,completed,A6_cosine_negative_control,roc_auc,0.8861978216131539,,,,0.8861978216131539,0.308505259004855,2,1628,82.4862938374281,81.6408411487937,0.0753766756030867,7.229328062964916e-12,1.3499346641909582e-06,765.8321404225387,0.0249772405811118,0.5484739676306293
