dataset,problem_type,budget_ratio,row_arm_id,selection_method,training_reweighting,runs,primary_value_mean,primary_gain_mean,primary_gain_median,tail_gain_mean,gram_error_mean,projection_cost_error_mean,effective_sample_size_mean,fit_time_seconds_mean,fit_time_ratio_mean
OnlineNewsPopularity__task_359941,regression,0.2,R0_uniform,uniform,none,3,15652.347853569932,0.0,0.0,0.0,0.2642472561579902,1.7731036364270677e-11,3806.0,67.79128867511947,1.0
OnlineNewsPopularity__task_359941,regression,0.2,R1_capped_incumbent,capped_leverage,none,3,15556.335420220596,0.006132188505693807,0.006871420063791613,0.02357469052985033,0.29389299863074814,4.5867690142601306e-12,3806.0,68.53743857579927,1.0113545548990992
OnlineNewsPopularity__task_359941,regression,0.2,R2_robust_mixture,robust_leverage_mixture,none,3,15806.198088474177,-0.009840182336900058,-0.009032915811887587,-0.06409137107587588,0.0445788450315694,7.443667346171772e-12,3806.0,69.14291000987093,1.0220557786041056
OnlineNewsPopularity__task_359941,regression,0.2,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,15873.300740919733,-0.01412473132647117,-0.013050942514872446,-0.09610297609040748,0.0445788450315694,7.443667346171772e-12,3312.6175638661953,67.35125518279771,0.9941382971365399
OnlineNewsPopularity__task_359941,regression,0.2,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,15712.254842543809,-0.0038583079361723172,-0.0023062214373113623,-0.03647002760352328,0.0418230720505361,7.973807219227997e-12,2947.1407419432585,68.54248677007854,1.011378900511971
bank-marketing__task_359982,classification,0.05,R0_uniform,uniform,none,3,0.887073645420128,0.0,0.0,,0.5052984308467341,4.392909852013929e-12,814.0,76.30447884276509,1.0
bank-marketing__task_359982,classification,0.05,R1_capped_incumbent,capped_leverage,none,3,0.8902636955567012,0.0031900501365732894,0.009500084505162043,,0.10116170054497607,3.5264973352074185e-12,814.0,73.83391371307273,0.9678921557131167
bank-marketing__task_359982,classification,0.05,R2_robust_mixture,robust_leverage_mixture,none,3,0.8855418216914256,-0.0015318237287022345,-0.004357341794264946,,0.06214956976250353,4.059917431296838e-12,814.0,76.3558524157852,0.9994193663974307
bank-marketing__task_359982,classification,0.05,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,0.8847426916448461,-0.002330953775281882,-0.0021838784981469406,,0.06214956976250353,4.059917431296838e-12,737.6118821350269,74.1753669877847,0.9709341958846837
bank-marketing__task_359982,classification,0.05,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,0.8766248306937897,-0.010448814726338296,-0.016586682649267992,,0.07754850022896827,2.9924095179089598e-12,687.9388439982744,73.7780345492065,0.9673481575243583
bank-marketing__task_359982,classification,0.1,R0_uniform,uniform,none,3,0.9062114213421063,0.0,0.0,,0.2554318279347428,4.709081117396911e-12,1627.5,76.91183820056419,1.0
bank-marketing__task_359982,classification,0.1,R1_capped_incumbent,capped_leverage,none,3,0.9035793735445347,-0.002632047797571535,-0.0023453141295946,,0.08882038607213544,2.599274460565718e-12,1627.5,75.2513005764534,0.9781796831510136
bank-marketing__task_359982,classification,0.1,R2_robust_mixture,robust_leverage_mixture,none,3,0.9024870397802328,-0.003724381561873269,-0.005909206896568153,,0.044662398942151765,3.790152374356666e-12,1627.5,77.58633569690089,1.0051451593448095
bank-marketing__task_359982,classification,0.1,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,0.9034171488826302,-0.002794272459475907,-0.004048199661316754,,0.044662398942151765,3.790152374356666e-12,1474.9244134907738,74.4963503057758,0.9664771840300768
bank-marketing__task_359982,classification,0.1,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,0.899233867207121,-0.006977554134985168,-0.009137446107247094,,0.047279461095741604,4.151676453602109e-12,1370.4644974002167,74.63031426258385,0.969353524442753
bank-marketing__task_359982,classification,0.2,R0_uniform,uniform,none,3,0.9170897842490899,0.0,0.0,,0.07149583407954961,3.0698815305898147e-12,3255.0,77.94953868413965,1.0
bank-marketing__task_359982,classification,0.2,R1_capped_incumbent,capped_leverage,none,3,0.9151235203509103,-0.0019662638981797396,-0.0032770012929054237,,0.0671814057848788,6.389226448269953e-12,3255.0,76.46256633661687,0.9823772571201328
bank-marketing__task_359982,classification,0.2,R2_robust_mixture,robust_leverage_mixture,none,3,0.9148576170869912,-0.0022321671620988415,-0.0026767069214228556,,0.0274964487846296,2.996535487820403e-12,3255.0,77.28985969225566,0.9927927950924135
bank-marketing__task_359982,classification,0.2,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,0.915891246985312,-0.0011985372637779435,1.2782293399182798e-05,,0.0274964487846296,2.996535487820403e-12,2973.975251071064,75.4456332679838,0.9688754321323648
bank-marketing__task_359982,classification,0.2,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,0.9116972344955911,-0.005392549753498861,-0.0055579305372304155,,0.0294920289213334,3.1159035656972778e-12,2761.861496205393,76.13959565137823,0.9768072986264205
covertype__task_7593,classification,0.05,R0_uniform,uniform,none,3,0.8079976328200483,0.0,0.0,,0.02063102899133677,3.1481732578201713e-12,888.8888888888888,66.32950337231159,1.0
covertype__task_7593,classification,0.05,R1_capped_incumbent,capped_leverage,none,3,0.834530909119155,-0.03270934562036677,-0.025396506365779104,,0.02869928027617667,2.1374790665451375e-12,888.8888888888888,66.61780311912298,1.0046099569576554
covertype__task_7593,classification,0.05,R2_robust_mixture,robust_leverage_mixture,none,3,0.818171834480465,-0.012807085725863159,-0.01671655664110274,,0.020349361328541298,3.882104617992511e-12,888.8888888888888,80.28301242614786,1.1997083360739784
covertype__task_7593,classification,0.05,R3_robust_mixture_ipw,robust_leverage_mixture,inverse_probability,3,0.8165667975576323,-0.010679108741098403,-0.011585009235840318,,0.020349361328541298,3.882104617992511e-12,800.980732211379,66.58395065739751,1.0046152712603174
covertype__task_7593,classification,0.05,R4_ridge_leverage_ipw,saturated_ridge_leverage,inverse_probability,3,0.8299660597854742,-0.028513869718984234,-0.047991172631610284,,0.029289302086859103,5.503476712247e-12,706.4261445620285,68.41564390684168,1.0317989144503776
covertype__task_7593,classification,0.1,R0_uniform,uniform,none,3,0.6807711354927856,0.0,0.0,,0.015254166738905867,3.6205864321473324e-12,1777.7777777777776,66.4805894413342,1.0
